region,year,month,hours_speed_ok,hours_direction_ok,hours_both_ok,hours_with_data,mean_speed_kt,days_met,pct_hours_speed,pct_hours_direction,pct_hours_both
100%,2021,1,110,57,18,744,16.243477625848477,1,14.78494623655914,7.661290322580645,2.4193548387096775
100%,2021,2,89,50,7,672,16.219754934286144,0,13.244047619047619,7.440476190476191,1.0416666666666667
100%,2021,3,86,128,36,744,14.222784685568383,2,11.559139784946236,17.204301075268816,4.838709677419355
100%,2021,4,49,58,30,720,13.271012070802483,1,6.805555555555555,8.055555555555555,4.166666666666667
100%,2021,5,35,52,10,744,12.296146793133081,1,4.704301075268817,6.989247311827957,1.3440860215053763
100%,2021,6,0,18,0,720,9.371422534247383,0,0.0,2.5,0.0
100%,2021,7,29,70,7,744,10.977914499923257,0,3.8978494623655915,9.408602150537634,0.9408602150537635
100%,2021,8,35,77,17,744,13.536754684829491,1,4.704301075268817,10.349462365591398,2.28494623655914
100%,2021,9,22,26,5,720,11.756164365093374,0,3.0555555555555554,3.611111111111111,0.6944444444444444
100%,2021,10,136,149,65,744,17.293284743388742,3,18.27956989247312,20.026881720430108,8.736559139784946
100%,2021,11,58,34,11,720,14.894667759059956,1,8.055555555555555,4.722222222222222,1.5277777777777777
100%,2021,12,97,73,26,744,15.346277501119447,1,13.03763440860215,9.811827956989248,3.4946236559139785
100%,2022,1,94,83,7,744,15.427689219793187,0,12.634408602150538,11.155913978494624,0.9408602150537635
100%,2022,2,168,94,44,672,20.75347918782099,2,25.0,13.988095238095237,6.5476190476190474
100%,2022,3,3,2,0,744,12.313910440681983,0,0.4032258064516129,0.26881720430107525,0.0
100%,2022,4,62,30,15,720,14.497231272105982,1,8.61111111111111,4.166666666666667,2.0833333333333335
100%,2022,5,8,44,5,744,10.65109232718114,0,1.075268817204301,5.913978494623656,0.6720430107526881
100%,2022,6,1,50,0,720,10.53294574874846,0,0.1388888888888889,6.944444444444445,0.0
100%,2022,7,9,39,2,744,10.389956359783143,0,1.2096774193548387,5.241935483870968,0.26881720430107525
100%,2022,8,0,25,0,744,9.849731393336404,0,0.0,3.360215053763441,0.0
100%,2022,9,62,76,31,720,12.744298519051876,2,8.61111111111111,10.555555555555555,4.305555555555555
100%,2022,10,49,122,29,744,15.280651122870522,1,6.586021505376344,16.397849462365592,3.8978494623655915
100%,2022,11,137,73,34,720,17.330846350312786,2,19.02777777777778,10.13888888888889,4.722222222222222
100%,2022,12,105,103,32,744,15.877268487358553,2,14.112903225806452,13.844086021505376,4.301075268817204
100%,2023,1,168,75,36,744,17.832286540016206,1,22.580645161290324,10.080645161290322,4.838709677419355
100%,2023,2,48,21,0,672,13.311533302205973,0,7.142857142857143,3.125,0.0
100%,2023,3,127,153,58,744,16.255627190415595,5,17.06989247311828,20.56451612903226,7.795698924731183
100%,2023,4,35,20,0,720,12.753381136808716,0,4.861111111111111,2.7777777777777777,0.0
100%,2023,5,6,4,0,744,11.414166775719561,0,0.8064516129032258,0.5376344086021505,0.0
100%,2023,6,0,16,0,720,11.50526028663508,0,0.0,2.2222222222222223,0.0
100%,2023,7,39,86,22,744,13.685047690449156,1,5.241935483870968,11.559139784946236,2.956989247311828
100%,2023,8,15,112,9,744,12.326428069155915,0,2.0161290322580645,15.053763440860216,1.2096774193548387
100%,2023,9,45,32,11,720,11.427323509480374,0,6.25,4.444444444444445,1.5277777777777777
100%,2023,10,90,97,25,744,15.673044314801597,1,12.096774193548388,13.03763440860215,3.360215053763441
100%,2023,11,129,47,12,720,18.208778899739563,0,17.916666666666668,6.527777777777778,1.6666666666666667
100%,2023,12,161,73,27,744,19.251498505393933,2,21.63978494623656,9.811827956989248,3.629032258064516
100%,2024,1,171,81,36,744,18.94514179802729,2,22.983870967741936,10.887096774193548,4.838709677419355
100%,2024,2,104,48,2,696,16.02863855102843,0,14.942528735632184,6.896551724137931,0.28735632183908044
100%,2024,3,47,82,6,744,14.014633179657345,0,6.317204301075269,11.021505376344086,0.8064516129032258
100%,2024,4,144,106,24,720,16.554281852931226,1,20.0,14.722222222222221,3.3333333333333335
100%,2024,5,8,59,0,744,10.15087613897604,0,1.075268817204301,7.93010752688172,0.0
100%,2024,6,30,70,0,720,11.355795840258425,0,4.166666666666667,9.722222222222221,0.0
100%,2024,7,1,58,0,744,11.395451876269325,0,0.13440860215053763,7.795698924731183,0.0
100%,2024,8,44,77,31,744,11.790985601783929,1,5.913978494623656,10.349462365591398,4.166666666666667
100%,2024,9,52,31,9,720,14.27355446142974,0,7.222222222222222,4.305555555555555,1.25
100%,2024,10,31,55,8,744,13.521198364288676,0,4.166666666666667,7.39247311827957,1.075268817204301
100%,2024,11,54,36,3,720,15.107409525859088,0,7.5,5.0,0.4166666666666667
100%,2024,12,124,74,21,744,17.47612413138006,0,16.666666666666668,9.946236559139784,2.8225806451612905
100%,2025,1,84,83,10,744,15.121701348437645,1,11.290322580645162,11.155913978494624,1.3440860215053763
100%,2025,2,60,17,0,672,14.490113750525195,0,8.928571428571429,2.5297619047619047,0.0
100%,2025,3,8,47,2,744,11.21419799238784,0,1.075268817204301,6.317204301075269,0.26881720430107525
100%,2025,4,0,9,0,720,10.602842600679592,0,0.0,1.25,0.0
100%,2025,5,25,47,11,744,13.26419627252447,0,3.360215053763441,6.317204301075269,1.478494623655914
100%,2025,6,23,67,3,720,12.26601361244464,0,3.1944444444444446,9.305555555555555,0.4166666666666667
100%,2025,7,8,63,1,744,9.949034022872516,0,1.075268817204301,8.46774193548387,0.13440860215053763
100%,2025,8,18,46,6,744,12.238359556106136,0,2.4193548387096775,6.182795698924731,0.8064516129032258
100%,2025,9,77,87,20,720,16.259208732045263,1,10.694444444444445,12.083333333333334,2.7777777777777777
100%,2025,10,79,27,6,744,16.53941642643574,0,10.618279569892474,3.629032258064516,0.8064516129032258
100%,2025,11,133,78,33,720,17.3901316361919,3,18.47222222222222,10.833333333333334,4.583333333333333
100%,2025,12,140,83,21,744,17.947640400985684,0,18.817204301075268,11.155913978494624,2.8225806451612905
100%,2026,1,95,34,12,744,16.660695173593872,1,12.768817204301076,4.56989247311828,1.6129032258064515
100%,2026,2,112,50,21,672,16.29915956448968,2,16.666666666666668,7.440476190476191,3.125
100%,2026,3,71,96,29,744,13.758879626363887,1,9.543010752688172,12.903225806451612,3.8978494623655915
100%,2026,4,25,23,4,720,12.690850473914036,0,3.4722222222222223,3.1944444444444446,0.5555555555555556
100%,2026,5,11,32,2,744,10.934725131309593,0,1.478494623655914,4.301075268817204,0.26881720430107525
100%,2026,6,30,55,15,720,12.218931529492075,1,4.166666666666667,7.638888888888889,2.0833333333333335
100%,2026,7,1,16,0,744,11.195423954586646,0,0.13440860215053763,2.150537634408602,0.0
100%,2026,8,0,19,0,329,9.68502211271508,0,0.0,5.775075987841945,0.0
75%,2021,1,231,86,30,744,17.08303664414998,2,31.048387096774192,11.559139784946236,4.032258064516129
75%,2021,2,249,77,30,672,16.857664341186425,2,37.05357142857143,11.458333333333334,4.464285714285714
75%,2021,3,163,165,68,744,14.830476164099533,5,21.908602150537636,22.177419354838708,9.13978494623656
75%,2021,4,118,79,48,720,13.72102405765211,2,16.38888888888889,10.972222222222221,6.666666666666667
75%,2021,5,69,76,13,744,12.723637786066574,1,9.274193548387096,10.21505376344086,1.7473118279569892
75%,2021,6,6,48,0,720,9.789332844999082,0,0.8333333333333334,6.666666666666667,0.0
75%,2021,7,86,103,26,744,11.413378480673408,2,11.559139784946236,13.844086021505376,3.4946236559139785
75%,2021,8,112,120,34,744,13.966736440919721,2,15.053763440860216,16.129032258064516,4.56989247311828
75%,2021,9,49,66,6,720,12.276737090033073,0,6.805555555555555,9.166666666666666,0.8333333333333334
75%,2021,10,290,216,114,744,18.13896170304641,5,38.97849462365591,29.032258064516128,15.32258064516129
75%,2021,11,187,74,21,720,15.724228109253712,1,25.97222222222222,10.277777777777779,2.9166666666666665
75%,2021,12,213,94,47,744,16.181719314601263,2,28.629032258064516,12.634408602150538,6.317204301075269
75%,2022,1,241,131,54,744,16.152010710085573,2,32.39247311827957,17.607526881720432,7.258064516129032
75%,2022,2,317,119,73,672,21.51521564311227,3,47.17261904761905,17.708333333333332,10.863095238095237
75%,2022,3,95,7,0,744,12.86044623652707,0,12.768817204301076,0.9408602150537635,0.0
75%,2022,4,153,42,19,720,15.066855705244278,1,21.25,5.833333333333333,2.638888888888889
75%,2022,5,30,87,16,744,11.12465017079066,1,4.032258064516129,11.693548387096774,2.150537634408602
75%,2022,6,34,70,2,720,10.95876445637657,0,4.722222222222222,9.722222222222221,0.2777777777777778
75%,2022,7,21,58,9,744,10.845054380880292,0,2.8225806451612905,7.795698924731183,1.2096774193548387
75%,2022,8,37,35,6,744,10.299624512849062,0,4.973118279569892,4.704301075268817,0.8064516129032258
75%,2022,9,115,108,68,720,13.332508068711178,5,15.972222222222221,15.0,9.444444444444445
75%,2022,10,203,169,83,744,16.041639325849864,6,27.28494623655914,22.71505376344086,11.155913978494624
75%,2022,11,306,129,91,720,18.450407088640066,6,42.5,17.916666666666668,12.63888888888889
75%,2022,12,244,135,61,744,16.648651879138182,2,32.795698924731184,18.14516129032258,8.198924731182796
75%,2023,1,324,106,71,744,18.69442598179853,4,43.54838709677419,14.24731182795699,9.543010752688172
75%,2023,2,139,43,5,672,13.875914866513389,0,20.68452380952381,6.398809523809524,0.7440476190476191
75%,2023,3,257,201,101,744,16.902695862652383,7,34.543010752688176,27.016129032258064,13.575268817204302
75%,2023,4,120,33,5,720,13.310414810573649,0,16.666666666666668,4.583333333333333,0.6944444444444444
75%,2023,5,31,16,0,744,11.8427755599798,0,4.166666666666667,2.150537634408602,0.0
75%,2023,6,14,30,7,720,12.008409816493694,1,1.9444444444444444,4.166666666666667,0.9722222222222222
75%,2023,7,109,126,57,744,14.106256195267077,3,14.650537634408602,16.93548387096774,7.661290322580645
75%,2023,8,53,155,39,744,12.892666796034637,4,7.123655913978495,20.833333333333332,5.241935483870968
75%,2023,9,98,48,16,720,11.895115175142013,1,13.61111111111111,6.666666666666667,2.2222222222222223
75%,2023,10,285,142,69,744,16.429597112231175,4,38.306451612903224,19.086021505376344,9.274193548387096
75%,2023,11,320,73,33,720,19.127245172094383,1,44.44444444444444,10.13888888888889,4.583333333333333
75%,2023,12,317,84,45,744,20.068438202232006,3,42.60752688172043,11.290322580645162,6.048387096774194
75%,2024,1,303,114,67,744,19.791378245057466,5,40.725806451612904,15.32258064516129,9.005376344086022
75%,2024,2,241,80,39,696,16.690397871724056,2,34.62643678160919,11.494252873563218,5.603448275862069
75%,2024,3,169,112,44,744,14.661607506451451,2,22.71505376344086,15.053763440860216,5.913978494623656
75%,2024,4,251,152,62,720,17.201694988746777,1,34.861111111111114,21.11111111111111,8.61111111111111
75%,2024,5,24,85,12,744,10.596255441036764,0,3.225806451612903,11.424731182795698,1.6129032258064515
75%,2024,6,64,126,15,720,11.834145568473604,2,8.88888888888889,17.5,2.0833333333333335
75%,2024,7,44,93,11,744,11.859402490562086,0,5.913978494623656,12.5,1.478494623655914
75%,2024,8,101,114,47,744,12.289956377202264,3,13.575268817204302,15.32258064516129,6.317204301075269
75%,2024,9,111,66,24,720,14.930868631277573,1,15.416666666666666,9.166666666666666,3.3333333333333335
75%,2024,10,148,87,26,744,14.251664722760248,1,19.892473118279568,11.693548387096774,3.4946236559139785
75%,2024,11,171,69,28,720,15.843889090638758,0,23.75,9.583333333333334,3.888888888888889
75%,2024,12,306,109,58,744,18.35365714809509,2,41.12903225806452,14.650537634408602,7.795698924731183
75%,2025,1,186,134,36,744,15.886169803001971,2,25.0,18.010752688172044,4.838709677419355
75%,2025,2,169,43,5,672,15.135219165844445,0,25.148809523809526,6.398809523809524,0.7440476190476191
75%,2025,3,16,72,4,744,11.715918952734986,0,2.150537634408602,9.67741935483871,0.5376344086021505
