region,year,month,days_all_cells_6h,days_all_cells_6h_cumulative,days_any_cell_6h,days_cell_sustained_6h,days_region_mean_6h,qualifying_hours_all_cells,days_in_month_with_data
100%,2021,1,1,2,8,6,4,18,31
100%,2021,2,0,0,4,2,2,7,28
100%,2021,3,2,2,7,7,6,36,31
100%,2021,4,1,1,5,5,4,30,30
100%,2021,5,1,1,4,4,1,10,31
100%,2021,6,0,0,0,0,0,0,30
100%,2021,7,0,0,6,6,3,7,31
100%,2021,8,1,1,6,6,4,17,31
100%,2021,9,0,0,3,1,1,5,30
100%,2021,10,3,5,17,15,12,65,31
100%,2021,11,1,1,9,6,2,11,30
100%,2021,12,1,2,12,11,7,26,31
100%,2022,1,0,0,10,8,7,7,31
100%,2022,2,2,2,17,16,10,44,28
100%,2022,3,0,0,0,0,0,0,31
100%,2022,4,1,1,3,3,1,15,30
100%,2022,5,0,0,4,3,2,5,31
100%,2022,6,0,0,0,0,0,0,30
100%,2022,7,0,0,3,3,1,2,31
100%,2022,8,0,0,1,1,1,0,31
100%,2022,9,2,2,8,8,7,31,30
100%,2022,10,1,2,11,8,8,29,31
100%,2022,11,2,2,15,12,11,34,30
100%,2022,12,2,3,12,10,7,32,31
100%,2023,1,1,1,12,12,8,36,31
100%,2023,2,0,0,2,1,0,0,28
100%,2023,3,5,5,11,8,7,58,31
100%,2023,4,0,0,4,3,0,0,30
100%,2023,5,0,0,1,0,0,0,31
100%,2023,6,0,0,1,1,1,0,30
100%,2023,7,1,2,6,6,4,22,31
100%,2023,8,0,0,6,6,5,9,31
100%,2023,9,0,0,5,4,3,11,30
100%,2023,10,1,2,12,11,5,25,31
100%,2023,11,0,0,12,10,8,12,30
100%,2023,12,2,2,7,7,4,27,31
100%,2024,1,2,2,9,9,8,36,31
100%,2024,2,0,0,8,7,5,2,29
100%,2024,3,0,0,5,5,3,6,31
100%,2024,4,1,1,14,14,7,24,30
100%,2024,5,0,0,5,5,2,0,31
100%,2024,6,0,0,4,3,2,0,30
100%,2024,7,0,0,7,5,0,0,31
100%,2024,8,1,1,9,9,5,31,31
100%,2024,9,0,0,5,5,3,9,30
100%,2024,10,0,0,10,5,3,8,31
100%,2024,11,0,0,10,9,3,3,30
100%,2024,12,0,1,13,11,7,21,31
100%,2025,1,1,1,7,7,4,10,31
100%,2025,2,0,0,3,3,0,0,28
100%,2025,3,0,0,1,1,0,2,31
100%,2025,4,0,0,1,1,0,0,30
100%,2025,5,0,0,6,6,4,11,31
100%,2025,6,0,0,9,9,4,3,30
100%,2025,7,0,0,6,6,3,1,31
100%,2025,8,0,0,5,5,2,6,31
100%,2025,9,1,1,11,11,7,20,30
100%,2025,10,0,0,4,4,3,6,31
100%,2025,11,3,3,10,10,7,33,30
100%,2025,12,0,1,11,9,4,21,31
100%,2026,1,1,1,8,4,4,12,31
100%,2026,2,2,2,6,6,4,21,28
100%,2026,3,1,1,11,9,7,29,31
100%,2026,4,0,0,2,2,1,4,30
100%,2026,5,0,0,4,4,2,2,31
100%,2026,6,1,1,5,4,1,15,30
100%,2026,7,0,0,1,1,0,0,31
100%,2026,8,0,0,2,2,1,0,14
75%,2021,1,2,3,7,6,4,30,31
75%,2021,2,2,2,4,2,2,30,28
75%,2021,3,5,5,6,6,6,68,31
75%,2021,4,2,3,5,5,4,48,30
75%,2021,5,1,1,4,4,1,13,31
75%,2021,6,0,0,0,0,0,0,30
75%,2021,7,2,3,6,6,3,26,31
75%,2021,8,2,3,6,6,5,34,31
75%,2021,9,0,1,2,1,1,6,30
75%,2021,10,5,7,16,15,13,114,31
75%,2021,11,1,1,7,5,3,21,30
75%,2021,12,2,4,12,11,7,47,31
75%,2022,1,2,3,10,8,7,54,31
75%,2022,2,3,4,17,14,9,73,28
75%,2022,3,0,0,0,0,0,0,31
75%,2022,4,1,1,3,3,1,19,30
75%,2022,5,1,1,3,3,2,16,31
75%,2022,6,0,0,0,0,0,2,30
75%,2022,7,0,0,3,3,2,9,31
75%,2022,8,0,1,1,1,1,6,31
75%,2022,9,5,5,8,8,5,68,30
75%,2022,10,6,7,10,8,8,83,31
75%,2022,11,6,7,15,12,10,91,30
75%,2022,12,2,3,10,10,8,61,31
75%,2023,1,4,6,12,12,9,71,31
75%,2023,2,0,0,2,1,1,5,28
75%,2023,3,7,7,11,8,7,101,31
75%,2023,4,0,0,4,3,1,5,30
75%,2023,5,0,0,1,0,0,0,31
75%,2023,6,1,1,1,1,1,7,30
75%,2023,7,3,4,5,5,5,57,31
75%,2023,8,4,5,6,6,6,39,31
75%,2023,9,1,1,5,4,2,16,30
75%,2023,10,4,5,12,11,8,69,31
75%,2023,11,1,2,9,9,7,33,30
75%,2023,12,3,3,6,6,4,45,31
75%,2024,1,5,5,8,8,8,67,31
75%,2024,2,2,2,8,7,5,39,29
75%,2024,3,2,3,5,5,4,44,31
75%,2024,4,1,2,13,12,9,62,30
75%,2024,5,0,0,5,5,2,12,31
75%,2024,6,2,2,3,2,2,15,30
75%,2024,7,0,0,6,5,3,11,31
75%,2024,8,3,3,9,9,7,47,31
75%,2024,9,1,2,5,5,4,24,30
75%,2024,10,1,3,8,5,5,26,31
75%,2024,11,0,0,7,7,3,28,30
75%,2024,12,2,3,13,11,8,58,31
75%,2025,1,2,3,6,6,5,36,31
75%,2025,2,0,0,2,2,1,5,28
75%,2025,3,0,0,1,1,0,4,31
75%,2025,4,0,0,1,1,0,0,30
75%,2025,5,4,4,6,6,5,33,31
75%,2025,6,2,2,9,9,5,35,30
75%,2025,7,1,1,6,6,3,20,31
75%,2025,8,1,1,5,5,3,23,31
75%,2025,9,5,6,10,10,8,71,30
75%,2025,10,1,1,4,4,3,17,31
75%,2025,11,4,5,10,9,7,81,30
75%,2025,12,4,4,11,9,5,63,31
75%,2026,1,2,3,7,4,4,34,31
75%,2026,2,4,4,5,5,4,38,28
75%,2026,3,3,3,11,9,7,58,31
75%,2026,4,0,0,2,2,1,9,30
75%,2026,5,1,1,4,4,4,20,31
75%,2026,6,1,1,4,4,1,24,30
75%,2026,7,0,0,1,1,0,0,31
75%,2026,8,1,1,2,2,1,13,14
50%,2021,1,2,3,6,6,4,38,31
50%,2021,2,2,2,3,2,2,35,28
50%,2021,3,6,6,6,6,6,74,31
50%,2021,4,3,4,4,4,4,53,30
50%,2021,5,1,1,4,4,2,17,31
50%,2021,6,0,0,0,0,0,0,30
50%,2021,7,2,3,5,5,3,29,31
50%,2021,8,3,3,6,6,4,40,31
50%,2021,9,1,1,1,1,1,10,30
50%,2021,10,5,9,16,15,14,134,31
50%,2021,11,2,2,4,4,3,28,30
50%,2021,12,3,5,11,11,5,70,31
50%,2022,1,3,6,9,8,7,66,31
50%,2022,2,5,6,13,12,8,85,28
50%,2022,3,0,0,0,0,0,0,31
50%,2022,4,1,1,3,3,2,24,30
50%,2022,5,1,1,3,3,2,20,31
50%,2022,6,0,0,0,0,0,2,30
50%,2022,7,0,0,3,3,2,10,31
50%,2022,8,1,1,1,1,1,12,31
50%,2022,9,5,5,7,7,5,74,30
50%,2022,10,6,7,10,8,8,91,31
50%,2022,11,7,9,13,12,10,107,30
50%,2022,12,3,4,10,10,8,71,31
50%,2023,1,5,6,12,12,9,87,31
50%,2023,2,0,0,2,1,1,8,28
50%,2023,3,7,7,9,8,7,115,31
50%,2023,4,0,0,4,2,1,10,30
50%,2023,5,0,0,1,0,0,0,31
50%,2023,6,1,1,1,1,1,7,30
50%,2023,7,3,4,5,5,5,65,31
50%,2023,8,4,5,6,6,6,45,31
50%,2023,9,1,2,5,4,2,21,30
50%,2023,10,4,5,11,10,8,83,31
50%,2023,11,1,3,8,7,7,48,30
50%,2023,12,4,4,6,6,4,50,31
50%,2024,1,5,5,8,8,7,74,31
50%,2024,2,3,4,6,6,5,52,29
50%,2024,3,3,4,5,5,5,52,31
50%,2024,4,4,5,13,12,9,79,30
50%,2024,5,0,0,3,3,2,12,31
50%,2024,6,2,2,2,2,2,18,30
50%,2024,7,0,0,6,5,4,15,31
50%,2024,8,4,4,8,8,7,52,31
50%,2024,9,2,3,5,4,4,31,30
50%,2024,10,2,3,6,5,5,32,31
50%,2024,11,0,2,5,5,3,36,30
50%,2024,12,4,4,11,9,7,81,31
50%,2025,1,3,5,6,6,5,44,31
50%,2025,2,0,0,2,1,1,7,28
50%,2025,3,0,0,1,1,0,4,31
50%,2025,4,0,0,1,1,0,0,30
50%,2025,5,4,4,5,5,5,36,31
50%,2025,6,2,3,9,9,5,46,30
50%,2025,7,1,1,6,6,3,22,31
50%,2025,8,2,2,5,4,3,29,31
50%,2025,9,5,6,9,9,7,77,30
50%,2025,10,2,2,4,4,3,19,31
50%,2025,11,6,6,8,8,6,92,30
50%,2025,12,4,4,10,8,5,74,31
50%,2026,1,2,3,6,4,4,43,31
50%,2026,2,4,4,4,4,4,46,28
50%,2026,3,5,5,10,9,7,69,31
50%,2026,4,0,0,2,2,1,11,30
50%,2026,5,1,1,4,4,4,24,31
50%,2026,6,1,2,3,2,1,27,30
50%,2026,7,0,0,1,1,0,1,31
50%,2026,8,1,1,2,2,1,13,14
