time,uo,vo,speed,direction
2026-08-21 14:00:00,-0.191,-0.578,0.609,198.273
2026-08-21 15:00:00,-0.211,-0.544,0.584,201.208
2026-08-21 16:00:00,-0.168,-0.422,0.454,201.688
2026-08-21 17:00:00,-0.089,-0.219,0.237,202.219
2026-08-21 18:00:00,0.004,0.050,0.050,5.175
2026-08-21 19:00:00,0.087,0.308,0.320,15.730
2026-08-21 20:00:00,0.130,0.457,0.475,15.844
2026-08-21 21:00:00,0.127,0.458,0.475,15.462
2026-08-21 22:00:00,0.088,0.352,0.363,14.077
2026-08-21 23:00:00,0.039,0.165,0.170,13.156
2026-08-22 00:00:00,-0.009,-0.081,0.082,186.662
2026-08-22 01:00:00,-0.064,-0.319,0.325,191.308
2026-08-22 02:00:00,-0.127,-0.474,0.490,194.954
2026-08-22 03:00:00,-0.170,-0.511,0.538,198.386
2026-08-22 04:00:00,-0.165,-0.459,0.487,199.840
2026-08-22 05:00:00,-0.122,-0.339,0.360,199.733
2026-08-22 06:00:00,-0.059,-0.157,0.168,200.525
2026-08-22 07:00:00,0.008,0.062,0.062,7.166
2026-08-22 08:00:00,0.060,0.244,0.251,13.925
2026-08-22 09:00:00,0.081,0.327,0.337,13.912
2026-08-22 10:00:00,0.068,0.308,0.315,12.441
2026-08-22 11:00:00,0.034,0.212,0.215,9.158
2026-08-22 12:00:00,0.000,0.052,0.052,0.439
2026-08-22 13:00:00,-0.030,-0.152,0.155,191.017
2026-08-22 14:00:00,-0.067,-0.343,0.349,191.090
2026-08-22 15:00:00,-0.119,-0.459,0.474,194.491
2026-08-22 16:00:00,-0.152,-0.471,0.495,197.923
2026-08-22 17:00:00,-0.144,-0.403,0.428,199.639
2026-08-22 18:00:00,-0.099,-0.269,0.287,200.126
2026-08-22 19:00:00,-0.038,-0.080,0.088,205.404
2026-08-22 20:00:00,0.020,0.126,0.128,9.148
2026-08-22 21:00:00,0.062,0.283,0.290,12.338
2026-08-22 22:00:00,0.078,0.346,0.355,12.767
2026-08-22 23:00:00,0.068,0.323,0.330,11.906
2026-08-23 00:00:00,0.040,0.224,0.228,10.202
2026-08-23 01:00:00,0.008,0.056,0.056,8.374
2026-08-23 02:00:00,-0.027,-0.153,0.155,189.870
2026-08-23 03:00:00,-0.073,-0.338,0.345,192.161
2026-08-23 04:00:00,-0.127,-0.446,0.464,195.898
2026-08-23 05:00:00,-0.162,-0.460,0.488,199.425
2026-08-23 06:00:00,-0.161,-0.394,0.426,202.257
2026-08-23 07:00:00,-0.129,-0.258,0.289,206.608
2026-08-23 08:00:00,-0.081,-0.064,0.103,231.354
2026-08-23 09:00:00,-0.021,0.142,0.144,351.444
2026-08-23 10:00:00,0.032,0.305,0.306,6.078
2026-08-23 11:00:00,0.065,0.387,0.392,9.498
2026-08-23 12:00:00,0.068,0.384,0.390,10.098
2026-08-23 13:00:00,0.052,0.296,0.300,10.045
2026-08-23 14:00:00,0.032,0.122,0.126,14.500
