time,VHM0_WW,VTM01_WW,VMDR_WW,VHM0_SW1,VTM01_SW1,VMDR_SW1,steepness_wind_sea,steepness_swell
2026-08-21 14:00:00,0.862,3.949,341.160,0.653,6.018,340.832,0.035,0.012
2026-08-21 15:00:00,0.850,3.945,338.024,0.659,6.054,342.434,0.035,0.012
2026-08-21 16:00:00,0.801,3.834,336.655,0.700,6.093,342.504,0.035,0.012
2026-08-21 17:00:00,0.785,3.814,338.342,0.698,6.153,339.709,0.035,0.012
2026-08-21 18:00:00,0.762,3.763,341.622,0.711,6.209,337.197,0.034,0.012
2026-08-21 19:00:00,0.745,3.699,346.337,0.707,6.229,336.396,0.035,0.012
2026-08-21 20:00:00,0.786,3.758,349.092,0.645,6.296,337.108,0.036,0.010
2026-08-21 21:00:00,0.854,3.826,350.116,0.569,6.572,335.525,0.037,0.008
2026-08-21 22:00:00,0.973,4.006,349.863,0.478,6.090,330.246,0.039,0.008
2026-08-21 23:00:00,1.094,4.168,349.644,0.427,5.601,321.471,0.040,0.009
2026-08-22 00:00:00,1.210,4.316,348.973,0.412,5.463,317.450,0.042,0.009
2026-08-22 01:00:00,1.292,4.431,347.884,0.448,5.724,326.240,0.042,0.009
2026-08-22 02:00:00,1.376,4.577,345.988,0.450,5.355,330.587,0.042,0.010
2026-08-22 03:00:00,1.461,4.705,344.133,0.455,5.375,328.056,0.042,0.010
2026-08-22 04:00:00,1.505,4.779,342.694,0.495,5.529,330.452,0.042,0.010
2026-08-22 05:00:00,1.532,4.820,342.871,0.494,5.480,326.682,0.042,0.011
2026-08-22 06:00:00,1.535,4.820,344.164,0.505,5.456,325.317,0.042,0.011
2026-08-22 07:00:00,1.518,4.809,344.891,0.523,5.506,333.346,0.042,0.011
2026-08-22 08:00:00,1.471,4.778,345.049,0.589,5.643,348.540,0.041,0.012
2026-08-22 09:00:00,1.487,4.811,344.865,0.530,5.445,353.315,0.041,0.011
2026-08-22 10:00:00,1.504,4.821,344.556,0.522,5.407,358.787,0.041,0.011
2026-08-22 11:00:00,1.528,4.851,343.893,0.514,5.378,9.942,0.042,0.011
2026-08-22 12:00:00,1.534,4.857,342.243,0.558,5.557,18.812,0.042,0.012
2026-08-22 13:00:00,1.528,4.863,340.404,0.627,5.846,22.528,0.041,0.012
2026-08-22 14:00:00,1.525,4.875,339.015,0.685,6.060,20.773,0.041,0.012
2026-08-22 15:00:00,1.540,4.917,338.580,0.702,6.189,19.506,0.041,0.012
2026-08-22 16:00:00,1.523,4.900,338.002,0.736,6.317,16.371,0.041,0.012
2026-08-22 17:00:00,1.456,4.778,336.807,0.810,6.401,12.506,0.041,0.013
